CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
MUERTO,01/09/2022 12:00:00 AM,"2,022",1899-12-31T06:30:00.000,MAÑANA,DOMINGO,VIA CALI - PALMIRA SUR,KM 18 + 600 MTS,RURAL,POLICIA,3.53172,-76.3234,PERDIDA DEL CONTROL DEL VEHICULO,157,MOTOCICLISTA,CHOQUE ARBOL,28,MASCULINO,MUERTO,NO APLICA,MOTO,NO APLICA,NO APLICA,PARTICULAR,NO APLICA
HERIDOS,01/02/2022 12:00:00 AM,"2,022",1899-12-31T05:50:00.000,MADRUGADA,DOMINGO,VIA PALMIRA ROZO,KM 1,RURAL,TECNICO,3.56149,-76.31098,PERDIDA DEL CONTROL DEL VEHICULO,157,MOTOCICLISTA,CHOQUE ARBOL,26,MASCULINO,LESIONADO,PALMIRA,MOTO,HERO,CALI,PARTICULAR,NO APLICA
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T15:30:00.000,MAÑANA,LUNES,SANTA BARBARA,CALLE 31 CARRERA 46,URBANA,TECNICO,3.52914,-76.31746,GIRAR REPENTINAMENTE,122,NO APLICA,CHOQUE,28,MASCULINO,NO APLICA,NO APLICA,CAMION,CHEVROLET,CALI,PARTICULAR,NO APLICA
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T15:30:00.000,MAÑANA,LUNES,SANTA BARBARA,CALLE 31 CARRERA 46,URBANA,TECNICO,3.52914,-76.31746,GIRAR REPENTINAMENTE,122,NO APLICA,CHOQUE,29,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T08:30:00.000,MAÑANA,LUNES,CENTRO,CALLE 31 CARRERA 24,URBANA,TECNICO,3.52755,-76.29545,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,62,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,VOLKWAGEN,CALI,PARTICULAR,NO APLICA
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T04:30:00.000,MAÑANA,LUNES,CENTRO,CALLE 31 CARRERA 24,URBANA,TECNICO,3.52755,-76.29545,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,64,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,JAMUNDI,PARTICULAR,NO APLICA
HERIDOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T13:20:00.000,TARDE,LUNES,COLOMBIA,CARRERA 31 CALLE 33,URBANA,TECNICO,3.53075,-76.30105,SEMAFORO EN ROJO,142,MOTOCICLISTA,CHOQUE,64,MASCULINO,LESIONADO,PALMIRA,MOTO,HONDA,FLORIDA,PARTICULAR,NO APLICA
HERIDOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T13:20:00.000,TARDE,LUNES,COLOMBIA,CARRERA 31 CALLE 33,URBANA,TECNICO,3.53075,-76.30105,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,34,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,CALI,PARTICULAR,NO APLICA
HERIDOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T13:20:00.000,TARDE,LUNES,COLOMBIA,CARRERA 31 CALLE 33,URBANA,TECNICO,3.53075,-76.30105,SEMAFORO EN ROJO,142,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,39,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
MUERTO,01/03/2022 12:00:00 AM,"2,022",1899-12-31T21:00:00.000,NOCHE,LUNES,COLOMBIA,CARRERA 31 CALLE 36,URBANA,TECNICO,3.53319,-76.30065,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,28,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,CALI,PARTICULAR,NO APLICA
