GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
FEMENINO,COLOMBIA,RISARALDA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,3,CASA FAMILIARES / AMIGOS,"300,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,27-38,DE PASO,0,SIN INFORMACION,"150,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",1,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,15-26,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,7,HOTEL,"500,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,QUINDÍO,39-50,VISITAR A FAMILIARES Y/O AMIGOS,7,CASA FAMILIARES / AMIGOS,"150,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CAUCA,39-50,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",1,CASA FAMILIARES / AMIGOS,"200,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,4,CASA FAMILIARES / AMIGOS,"400,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CAUCA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,4,CASA FAMILIARES / AMIGOS,"400,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"800,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,BOLIVAR,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,6,CASA FAMILIARES / AMIGOS,"480,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,QUINDÍO,39-50,VISITAR A FAMILIARES Y/O AMIGOS,6,CASA FAMILIARES / AMIGOS,"180,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,COMPRAR BIENES O SERVICIOS PARA EMPRESAS QUE NO ES DEL VALLE O COMO INDEPENDIENTE,5,APARTAHOTEL,"600,000",YA LOS CONOCÍA,"2,021"
MASCULINO,ECUADOR,CARCHI,39-50,COMPRAR BIENES O SERVICIOS PARA EMPRESAS QUE NO ES DEL VALLE O COMO INDEPENDIENTE,4,CASA FAMILIARES / AMIGOS,"2,000,000",YA LOS CONOCÍA,"2,021"
FEMENINO,VENEZUELA,APURE,15-26,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,30,CASA FAMILIARES / AMIGOS,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,PUTUMAYO,39-50,VISITAR A FAMILIARES Y/O AMIGOS,6,CASA FAMILIARES / AMIGOS,"400,000",YA LOS CONOCÍA,"2,021"
FEMENINO,VENEZUELA,ARAGUA,15-26,DE PASO,0,SIN INFORMACION,"120,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,VENEZUELA,ARAGUA,15-26,DE PASO,0,SIN INFORMACION,"120,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,DE PASO,0,SIN INFORMACION,"190,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,SIN INFORMACION,0,SIN INFORMACION,"400,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,PUTUMAYO,15-26,DE PASO,0,SIN INFORMACION,"200,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CALDAS,15-26,VISITAR A FAMILIARES Y/O AMIGOS,45,CASA FAMILIARES / AMIGOS,"150,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CAUCA,39-50,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,2,CASA FAMILIARES / AMIGOS,"200,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,BOGOTÁ D. C.,51-62,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"600,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,51-62,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,1,HOTEL,"400,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,RISARALDA,51-62,COMPRAR BIENES O SERVICIOS PARA EMPRESAS QUE NO ES DEL VALLE O COMO INDEPENDIENTE,1,CASA FAMILIARES / AMIGOS,"500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,39-50,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"1,200,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,BOGOTÁ D. C.,51-62,VISITAR A FAMILIARES Y/O AMIGOS,6,CASA FAMILIARES / AMIGOS,"500,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,39-50,"VACACIONES, RECREO Y OCIO",2,CASA FAMILIARES / AMIGOS,"2,000,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,51-62,VISITAR A FAMILIARES Y/O AMIGOS,3,CASA FAMILIARES / AMIGOS,"1,000,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,30,CASA FAMILIARES / AMIGOS,"600,000",YA LOS CONOCÍA,"2,021"
FEMENINO,VENEZUELA,APURE,27-38,DE PASO,0,SIN INFORMACION,"200,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,VENEZUELA,APURE,27-38,DE PASO,0,SIN INFORMACION,"200,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CALDAS,39-50,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"500,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,0,SIN INFORMACION,"800,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,RISARALDA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,2,CASA FAMILIARES / AMIGOS,"300,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,"VACACIONES, RECREO Y OCIO",2,APARTAHOTEL,"300,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,15-26,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,0,SIN INFORMACION,"120,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,39-50,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,0,SIN INFORMACION,"150,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CESAR,27-38,DE PASO,0,SIN INFORMACION,"180,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOGOTÁ D. C.,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,3,HOTEL,"700,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,"VACACIONES, RECREO Y OCIO",3,HOTEL,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,RISARALDA,15-26,VISITAR A FAMILIARES Y/O AMIGOS,3,CASA FAMILIARES / AMIGOS,"400,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,27-38,"VACACIONES, RECREO Y OCIO",3,CASA FAMILIARES / AMIGOS,"450,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,51-62,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,3,HOTEL,"500,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,39-50,DE PASO,1,HOTEL,"350,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,15-26,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"600,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,TOLIMA,39-50,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,2,APARTAHOTEL,"500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,27-38,"VACACIONES, RECREO Y OCIO",2,CASA FAMILIARES / AMIGOS,"500,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,RISARALDA,39-50,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",1,CASA FAMILIARES / AMIGOS,"300,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CALDAS,39-50,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,VENEZUELA,LARA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,15,CASA FAMILIARES / AMIGOS,"800,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,39-50,DE PASO,0,SIN INFORMACION,"50,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,COMPRAR BIENES O SERVICIOS PARA EMPRESAS QUE NO ES DEL VALLE O COMO INDEPENDIENTE,0,SIN INFORMACION,"600,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,15-26,"VACACIONES, RECREO Y OCIO",5,CASA FAMILIARES / AMIGOS,"1,000,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CAUCA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,3,CASA FAMILIARES / AMIGOS,"300,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,HUILA,39-50,"VACACIONES, RECREO Y OCIO",3,CASA FAMILIARES / AMIGOS,"500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,HUILA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,3,CASA FAMILIARES / AMIGOS,"300,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,39-50,COMPRAR BIENES O SERVICIOS PARA EMPRESAS QUE NO ES DEL VALLE O COMO INDEPENDIENTE,0,SIN INFORMACION,"250,000",YA LOS CONOCÍA,"2,021"
MASCULINO,ECUADOR,QUITO,27-38,DE PASO,0,SIN INFORMACION,"200,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,1,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,1,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,0,SIN INFORMACION,"400,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,RISARALDA,27-38,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CALDAS,27-38,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CALDAS,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,27-38,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,ECUADOR,EL ORO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,4,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,51-62,VISITAR A FAMILIARES Y/O AMIGOS,5,CASA FAMILIARES / AMIGOS,"600,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CALDAS,39-50,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAUCA,15-26,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",0,SIN INFORMACION,"30,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,RISARALDA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOGOTÁ D. C.,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,27-38,SIN INFORMACION,,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,BOGOTÁ D. C.,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOYACÁ,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,BOYACÁ,15-26,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CALDAS,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,RISARALDA,27-38,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,ECUADOR,SIN INFORMACION,27-38,VISITAR A FAMILIARES Y/O AMIGOS,4,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,39-50,VISITAR A FAMILIARES Y/O AMIGOS,3,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ATLANTICO,27-38,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,39-50,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,39-50,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOGOTÁ D. C.,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,QUINDÍO,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,ECUADOR,SIN INFORMACION,27-38,VISITAR A FAMILIARES Y/O AMIGOS,4,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,27-38,SIN INFORMACION,0,SIN INFORMACION,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOLIVAR,27-38,VISITAR A FAMILIARES Y/O AMIGOS,3,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,BOLIVAR,27-38,VISITAR A FAMILIARES Y/O AMIGOS,3,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,ARGENTINA,SIN INFORMACION,27-38,VISITAR A FAMILIARES Y/O AMIGOS,4,HOTEL,"5,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,ECUADOR,SIN INFORMACION,27-38,VISITAR A FAMILIARES Y/O AMIGOS,3,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,VENEZUELA,SIN INFORMACION,27-38,VISITAR A FAMILIARES Y/O AMIGOS,3,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,HUILA,27-38,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,HUILA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CORDOBA,39-50,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CORDOBA,39-50,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,"VACACIONES, RECREO Y OCIO",3,HOTEL,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,27-38,"ASISTIR O DICTAR CONFERENCIA, PONENTE EN CONGRESO, FERIA COMERCIAL O EXPOSICIÓN",7,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,QUINDÍO,39-50,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,"500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CUNDINAMARCA,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,4,HOTEL,"2,000,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
FEMENINO,COLOMBIA,CALDAS,27-38,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,1,CASA FAMILIARES / AMIGOS,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,15-26,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,"300,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAUCA,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,RISARALDA,39-50,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CALDAS,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,HUILA,39-50,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,HUILA,39-50,SIN INFORMACION,0,SIN INFORMACION,"800,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAQUETÁ,15-26,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,45,FINCA AGRO TURÍSTICA / ALOJAMIENTO RURAL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,51-62,VISITAR A FAMILIARES Y/O AMIGOS,30,CASA FAMILIARES / AMIGOS,"800,000",YA LOS CONOCÍA,"2,021"
FEMENINO,VENEZUELA,ARAGUA,15-26,DE PASO,1,CASA FAMILIARES / AMIGOS,"450,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,HUILA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,TOLIMA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,TOLIMA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,VENEZUELA,ARAGUA,27-38,DE PASO,1,CASA FAMILIARES / AMIGOS,"450,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,TOLIMA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,TOLIMA,27-38,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,TOLIMA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CALDAS,39-50,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,39-50,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",0,SIN INFORMACION,"300,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CALDAS,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CALDAS,27-38,SIN INFORMACION,0,SIN INFORMACION,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,15-26,DE PASO,0,SIN INFORMACION,"250,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,RISARALDA,39-50,SIN INFORMACION,0,SIN INFORMACION,"500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,QUINDÍO,51-62,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,7,CASA FAMILIARES / AMIGOS,"300,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,7,CASA FAMILIARES / AMIGOS,"300,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,TOLIMA,27-38,SIN INFORMACION,0,SIN INFORMACION,"600,000",AMIGOS Y/O FAMILIARES.,"2,021"
