GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
FEMENINO,COLOMBIA,CUNDINAMARCA,39-50,"VACACIONES, RECREO Y OCIO",2,CASA FAMILIARES / AMIGOS,"250,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,EDUCACIÓN / FORMACIÓN,3,CASA FAMILIARES / AMIGOS,"350,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,0,SIN INFORMACION,"200,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAUCA,15-26,"VACACIONES, RECREO Y OCIO",0,SIN INFORMACION,0,AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,15-26,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,1,HOTEL,"100,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,"VACACIONES, RECREO Y OCIO",2,HOTEL,"400,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,mas de 63,"VACACIONES, RECREO Y OCIO",2,CASA FAMILIARES / AMIGOS,"250,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,51-62,VISITAR A FAMILIARES Y/O AMIGOS,2,CASA FAMILIARES / AMIGOS,"350,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,CASA FAMILIARES / AMIGOS,"220,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,51-62,VISITAR A FAMILIARES Y/O AMIGOS,1,CASA / CABAÑA DE VACACIONES/ APARTAMENTO PROPIO,"500,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,mas de 63,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,"180,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,VALLE DEL CAUCA,15-26,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,"120,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CAUCA,15-26,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,0,"BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
MASCULINO,COLOMBIA,CAUCA,27-38,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,"190,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,15-26,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,0,SIN INFORMACION,"80,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"170,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,39-50,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",30,CASA / CABAÑA DE VACACIONES/ APARTAMENTO PROPIO,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
